name,country,city,businessType
SEA HARMONY,Bulgaria,VARNA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GIS-TRANSFERCENTER FOUNDATION,Bulgaria,SOFIA,Other
SCA DEVELOPMENT LTD,Bulgaria,BURGAS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
APIS HRISTOVICH EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NEW EUROPE CENTER FOR REGIONAL STUDIES SDRUZHENIE,Bulgaria,PLOVDIV,Research Organisations
BULGARIAN GREEN BUILDING COUNCIL,Bulgaria,Sofia,Other
SOFIA ENERGY AGENCY ASSOCIATION,Bulgaria,SOFIA,Research Organisations
ARCHIMEDES - UDSS LLC,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CENTER FOR PROTECTION OF THE RIGHTSIN THE HEALTHCARE SDRUZHENIE,Bulgaria,SOFIA,Other
MOTIVIAN EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NEMETSCHEK EOOD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SDRUZENIE BULGARSKA ASOCIACIA NA SOFTUERNITE KOMPANII BASCOM,Bulgaria,SOFIA,Other
BULGARIAN RED CROSS,Bulgaria,SOFIA,Other
BALKANSKI INSTITUT PO TRUDA I SOCIALNATA POLITIKA ASSOCIATION,Bulgaria,SOFIA,Research Organisations
"""INSTITUTE OF OPTICAL MATERIALS AND TECHNOLOGIES """"ACADEMICIAN JORDAN MALINOWSKI"""" - BULGARIAN ACADEMY OF SCIENCES""",Bulgaria,SOFIA,Research Organisations
CLUSTER ZELENA SINERGIYA,Bulgaria,PLOVDIV,Other
OBSHTINA VIDIN,Bulgaria,VIDIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
UNION OF BULGARIAN BLACK SEA LOCAL AUTHORITIES,Bulgaria,VARNA,Research Organisations
DOBRICH LOCAL AGENCY FOR ENERGY MANAGEMENT,Bulgaria,VARNA,Other
MINISTRY OF ENERGY,Bulgaria,Sofia,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
INSTITUT PO INZHENERNA HIMIYA,Bulgaria,SOFIA,Research Organisations
IKONOMICHESKI UNIVERSITET - VARNA,Bulgaria,VARNA,Higher or Secondary Education Establishments
PAZARDZHIK DISTRICT ADMINISTRATION,Bulgaria,PAZARDZHIK,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
OBSHTINI ASENOVGRAD,Bulgaria,ASENOVGRAD,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
REGIONALNO SDRUZHENIE NA OBSTINI TSENTRALNA STARA PLANINA,Bulgaria,GABROVO,Other
NAVIGATO,Bulgaria,PERNIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITY OF NATIONAL AND WORLD ECONOMY,Bulgaria,SOFIA,Higher or Secondary Education Establishments
INDUSTRIALEN KLASTER ELEKTROMOBILI,Bulgaria,Sofia,Other
REGIONAL ADMINISTRATION VARNA,Bulgaria,VARNA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"VVF - SVETOVEN FOND ZA DIVATA PRIRODA, DUNAVSKO-KARPATSKA PROGRAMA BULGARIA",Bulgaria,SOFIA,Other
DAVID HOLDING AD,Bulgaria,KAZANLAK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT PRO ELEKTRONIKA NA BAN - INSTITUTE OF ELECTRONICS BULGARIAN ACADEMY OF SCIENCES,Bulgaria,SOFIA,Research Organisations
TECH TOUR GLOBAL,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OKYS LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
K3Y,Bulgaria,PETRICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"""UNIVERSITETSKA MNOGOPROFILNA BOLNITsA ZA AKTIVNO LEChENIE """"SVETI GEORGI"""" - UNIVERSITY MULTIPROFILE HOSPITAL FOR ACTIVE TRAITMENT """"SAINT GEORGE""""""",Bulgaria,PLOVDIV,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BALGARSKA STOPANSKA KAMARA - SAYUZ NA BALGARSKIA BIZNES,Bulgaria,SOFIA,Other
NATIONAL ASSOCIATION OF GENERAL PRACTITIONERS IN BULGARIA,Bulgaria,PAZARDJIK,Other
INSTITUTE OF MATHEMATICS AND INFORMATICS AT THE BULGARIAN ACADEMY OF SCIENCE,Bulgaria,SOFIA,Research Organisations
AGRAREN UNIVERSITET - PLOVDIV,Bulgaria,PLOVDIV,Higher or Secondary Education Establishments
VISSHE UCHILISHTE PO MENIDZHMANT,Bulgaria,VARNA,Higher or Secondary Education Establishments
NATIONAL INSTITUTE OF GEOPHYSICS GEODESY AND GEOGRAPHY - BULGARIAN ACADEMY OF SCIENCES,Bulgaria,SOFIA,Research Organisations
INSTITUTE OF PLANT GENETIC RESOURCES,Bulgaria,SADOVO,Research Organisations
SPACE RESEARCH AND TECHNOLOGY INSTITUTE,Bulgaria,SOFIA,Research Organisations
INTERNATIONAL CYBER INVESTIGATION TRAINING ACADEMY,Bulgaria,SOFIA,Other
MUNICIPALITY OF PERNIK,Bulgaria,Pernik,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ENEFFECT CONSULT LTD,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SDRUZHENIE BULGARSKA NATSIONALNA ASOTSIATSIYA AKTIVNI POTREBITELI,Bulgaria,SOFIA,Research Organisations
LAMDA 88 OOD,Bulgaria,PETRICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FONDATSIYA MEDIA 21,Bulgaria,SOFIA,Research Organisations
INSTITUTE FOR BULGARIAN LANGUAGE PROF LYUBOMIR ANDREYCHIN,Bulgaria,Sofia,Research Organisations
DARJAVNO PREDPRIYATIE RAKOVODSTVO NA VAZDUSHNOTO DVIJENIE TPP,Bulgaria,SOFIA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL AGRICULTURAL ADVISORY SERVICE,Bulgaria,SOFIA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CHAMBER OF COMMERCE AND INDUSTRY,Bulgaria,DOBRICH,Other
JOINT INNOVATION CENTRE OF BAS,Bulgaria,SOFIA,Other
BUSINESS SUPPORT CENTRE FOR SMALL AND MEDIUM SIZE ENTERPRISES-RUSE,Bulgaria,RUSE,Other
