name,activityType,country,city
AFGANISTAN RESEARCH AND EVALUATION UNIT (AREU),Other,Afghanistan,KABUL
SAMUEL HALL CONSULTING CO,Private for-profit entities (excluding Higher or Secondary Education Establishments),Afghanistan,KABUL
FURTHER PARTICIPANTS,Unknown,Afghanistan,
FUTURE PARTICIPANT 1,Unknown,Afghanistan,
NANGARHAR UNIVERSITY,Higher or Secondary Education Establishments,Afghanistan,JALALABAD
