name,country,city,businessType
GLANBIA IRELAND DESIGNATED ACTIVITY COMPANY,Republic of Ireland,KILKENNY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Glantreo Ltd,Republic of Ireland,CORK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TRANSPHARMATION IRELAND LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CONNECTING ARCHAEOLOGY AND ARCHITECTURE IN EUROPE,Republic of Ireland,DUBLIN,Other
F6S NETWORK IRELAND LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AQUA TT UETP COMPANY LIMITED BY GUARANTEE,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE HEALTH RESEARCH BOARD,Republic of Ireland,DUBLIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
HIBERGENE DIAGNOSTICS LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOLEARTH LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCIENCE TECHNOLOGY RESEARCH PARTNERS LIMITED,Republic of Ireland,Dublin,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCIENCE FOUNDATION IRELAND,Republic of Ireland,Dublin,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TIPPERARY ENERGY AGENCY LIMITED,Republic of Ireland,Cahir,Other
TRILATERAL RESEARCH LIMITED,Republic of Ireland,DUNDALK LOUTH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIMERICK CITY AND COUNTY COUNCIL,Republic of Ireland,Limerick,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
PROFEXCEL.NET LTD,Republic of Ireland,MAYNOOTH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CONNECT THE DOTS EVENTS LIMITED,Republic of Ireland,DUBLIN 2,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HORIZON NUA INNOVATION,Republic of Ireland,DUBLIN,Research Organisations
NUTRITICS LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ALERE INTERNATIONAL LIMITED,Republic of Ireland,GALWAY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HELIXWORKS TECHNOLOGIES LIMITED,Republic of Ireland,CORK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IBM IRELAND LIMITED,Republic of Ireland,Ballsbridge,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BOSTON SCIENTIFIC LIMITED,Republic of Ireland,Galway,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ADAMA INNOVATIONS LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"UNITED TECHNOLOGIES RESEARCH CENTRE IRELAND, LIMITED",Republic of Ireland,Cork,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"DEPARTMENT OF HOUSING, PLANNING AND LOCAL GOVERNMENT",Republic of Ireland,DUBLIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
JOHNSON & JOHNSON VISION CARE (IRELAND),Republic of Ireland,LIMERICK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TRANSGERO LIMITED,Republic of Ireland,LIMERICK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EMC INFORMATION SYSTEMS INTERNATIONAL,Republic of Ireland,Ovens,Private for-profit entities (excluding Higher or Secondary Education Establishments)
WORLD VISION OF IRELAND LBG,Republic of Ireland,DUBLIN 6,Other
NEURAVI LIMITED,Republic of Ireland,GALWAY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NOKIA IRELAND LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COMMUNICRAFT LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"CRITICAL PATH INSTITUTE, LIMITED",Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KLAS LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TYCO IRELAND LIMITED,Republic of Ireland,CORK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GALU LIMITED,Republic of Ireland,ATHY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GLEN DIMPLEX HEATING & VENTILATION IRELAND UNLIMITED COMPANY,Republic of Ireland,DUNLEER LOUTH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MENTOR GRAPHICS (IRELAND) LTD,Republic of Ireland,SHANNON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NATIONAL COLLEGE OF IRELAND,Republic of Ireland,DUBLIN,Higher or Secondary Education Establishments
SUITE5 DATA INTELLIGENCE SOLUTIONS LIMITED,Republic of Ireland,Rathcoole,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SPORTS SURGERY CLINIC LIMITED,Republic of Ireland,Dublin 9,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIOPLASTECH LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GLYCOSELECT LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Qreach Ltd.,Republic of Ireland,Dublin,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DOLMEN DESIGN AND INNOVATION LIMITED,Republic of Ireland,Glasnevin,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KONNEKT ABLE TECHNOLOGIES LIMITED,Republic of Ireland,DUNDALK CO LOUTH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTE OF TECHNOLOGY SLIGO - ITS,Republic of Ireland,SLIGO,Higher or Secondary Education Establishments
W1DAEXPERIENCE LIMITED,Republic of Ireland,WESTPORT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CELL STRESS DISCOVERIES LIMITED,Republic of Ireland,GALWAY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ICON CLINICAL RESEARCH LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UDARAS EITLIOCHTA NA HEIREANN THE IRISH AVIATION AUTHORITY,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AIRTEL ATN LIMITED,Republic of Ireland,DUN LOAGHAIRE DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUTE OF TECHNOLOGY TRALEE,Republic of Ireland,TRALEE,Higher or Secondary Education Establishments
WATERFORD INSTITUTE OF TECHNOLOGY,Republic of Ireland,Waterford,Higher or Secondary Education Establishments
DUBLIN BUSINESS INNOVATION CENTER LIMITED,Republic of Ireland,DUBLIN,Other
KERRY COUNTY COUNCIL,Republic of Ireland,TRALEE KERRY,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
STATWOLF LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INFINEON TECHNOLOGIES IRELAND LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IRISH MANUFACTURING RESEARCH COMPANY LIMITED BY GUARANTEE,Republic of Ireland,RATHCOOLE,Research Organisations
FLEMING MEDICAL LIMITED,Republic of Ireland,Limerick,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FUTURE ANALYTICS CONSULTING LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AN GARDA SIOCHANA,Republic of Ireland,DUBLIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CYBERCOLLOIDS LIMITED,Republic of Ireland,CARRIGALINE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"RESEARCH FOR SCIENCE, ART AND TECHNOLOGY (RFSAT) LIMITED",Republic of Ireland,DUBLIN,Research Organisations
CELIGNIS LIMITED,Republic of Ireland,LIMERICK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ANALOG DEVICES INTERNATIONAL UNLIMITED COMPANY,Republic of Ireland,LIMERICK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EBLANA PHOTONICS LIMITED,Republic of Ireland,Dublin,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE NATIONAL MICROELECTRONICS APPLICATIONS CENTRE LTD,Republic of Ireland,LIMERICK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SUSTAINABLE IRELAND CO-OPERATIVE SOCIETY LTD,Republic of Ireland,CLOUGHJORDAN CO TIPPERARY,Other
ARDEN ENERGY LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EIRGRID PLC,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BRIVANT LIMITED,Republic of Ireland,NEW ROSS WEXFORD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CREGANNA UNLIMITED COMPANY,Republic of Ireland,Galway,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MULTIMEDIA COMPUTER SYSTEM LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
L.M. ERICSSON LIMITED,Republic of Ireland,DUBLIN 4,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COILLTE TEORANTA,Republic of Ireland,NEWTOWNMOUNTKENNEDY WICKLOW,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HEWLETT-PACKARD GALWAY LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BLUEACRE TECHNOLOGY LIMITED,Republic of Ireland,DUNDALK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
X-CELEPRINT LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DAWN MEATS GROUP,Republic of Ireland,WATERFORD,Private for-profit entities (excluding Higher or Secondary Education Establishments)
XOCEAN LIMITED,Republic of Ireland,GREENORE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FERFICS LIMITED,Republic of Ireland,CORK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PROXY BIOMEDICAL LIMITED,Republic of Ireland,Galway,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Galway Clinic,Republic of Ireland,Galway,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SOFTWARE RADIO SYSTEMS LIMITED,Republic of Ireland,GLANMIRE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VALITACELL LTD,Republic of Ireland,DUBLIN 2,Private for-profit entities (excluding Higher or Secondary Education Establishments)
THE SUSTAINABLE ENERGY AUTHORITY OF IRELAND,Republic of Ireland,DUBLIN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CREME SOFTWARE LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLY-PICO TECHNOLOGIES LTD,Republic of Ireland,GALWAY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ALTRATECH LIMITED,Republic of Ireland,LIMERICK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PORTABLE MEDICAL TECHNOLOGY LIMITED,Republic of Ireland,KILLARNEY KERRY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INTRIGO LIMITED,Republic of Ireland,DUBLIN 8,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BEOTANICS LIMITED,Republic of Ireland,KILKENNY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UCC ACADEMY DESIGNATED ACTIVITY COMPANY,Republic of Ireland,Cork,Other
IES R&D,Republic of Ireland,DUBLIN 1,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VRM TECHNOLOGY DESIGNATED ACTIVITY COMPANY,Republic of Ireland,DONEGAL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SPECTRUM INSTRUMENTS LTD,Republic of Ireland,LIMERICK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CARTON BROS,Republic of Ireland,CLONEE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BENETEL LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZUTEC INC. (IRELAND) LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CYLON CONTROLS LIMITED,Republic of Ireland,CLONSHAUGH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ENERIT LIMITED,Republic of Ireland,LOUGHREA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ESB NETWORKS LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UDARAS NA GAELTACHTA,Republic of Ireland,GAILLIMH,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LIGHTWAVE OPTICS LTD (IRISH PRECISION OPTICS),Republic of Ireland,CORK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KUEHNE & NAGEL (IRELAND) LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ACCESS EARTH LIMITED,Republic of Ireland,KILDARE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ASSENTIAN EUROPE LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LETTERKENNY INSTITUTE OF TECHNOLOGY,Republic of Ireland,LETTERKENNY,Higher or Secondary Education Establishments
ORPC IRELAND LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DUNDALK INSTITUTE OF TECHNOLOGY,Republic of Ireland,Dundalk,Higher or Secondary Education Establishments
DA RENEWABLE ENERGY TECHNOLOGY,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PERFUZE LIMITED,Republic of Ireland,GALWAY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SANMINA IRELAND UNLIMITED COMPANY,Republic of Ireland,DUBLIN 1,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SSE AIRTRICITY LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IRISH OBSERVER NETWORK LIMITED,Republic of Ireland,Cork,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ATXA THERAPEUTICS LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
HYDRO INTERNATIONAL LIMITED,Republic of Ireland,NAVAN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NVP ENERGY LIMITED,Republic of Ireland,"MULLINGAR, CO. WESTMEATH",Private for-profit entities (excluding Higher or Secondary Education Establishments)
BLUEBRIDGE TECHNOLOGIES LTD,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FLOWFORMA LIMITED,Republic of Ireland,DUBLIN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
