name,country,city,businessType
AF CONSULT SWITZERLAND AG,Switzerland,BADEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LIMMATKRAFTWERKE AG,Switzerland,BADEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GENERAL ELECTRIC (SWITZERLAND) GMBH,Switzerland,BADEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ANSALDO ENERGIA SWITZERLAND AG,Switzerland,BADEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NET NOWAK ENERGIE & TECHNOLOGIE AG,Switzerland,ST URSEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"FEDERAL DEPARTMENT FOR ENVIRONMENT, TRANSPORT, ENERGY AND COMMUNICATIONS",Switzerland,BERN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SCUOLA UNIVERSITARIA PROFESSIONALE DELLA SVIZZERA ITALIANA,Switzerland,MANNO,Higher or Secondary Education Establishments
NETUNION SARL,Switzerland,LAUSANNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EPTES SARL,Switzerland,VEVEY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ACTELION PHARMACEUTICALS LTD,Switzerland,ALLSCHWIL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FRIEDRICH MIESCHER INSTITUTE FOR BIOMEDICAL RESEARCH FONDATION,Switzerland,BASEL,Research Organisations
EUROPEAN MOLECULAR BIOLOGY ORGANIZATION,Switzerland,GENEVE,Other
EIDGENOSSICHEN FORSCHUNGSANSTALT FUR WALD SCHNEE UND LANDSCHAFT,Switzerland,BIRMENSDORF,Research Organisations
ETH Zurich,Switzerland,ZUERICH,Higher or Secondary Education Establishments
CEMEX RESEARCH GROUP AG,Switzerland,BRUGG BEI BIEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNIVERSITE DE NEUCHATEL,Switzerland,NEUCHATEL,Higher or Secondary Education Establishments
MARTEL GMBH,Switzerland,DUBENDORF,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BURGERGEMEINDE BERN,Switzerland,BERN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
KERNKRAFTWERK GOSGEN-DANIKEN AG,Switzerland,DANIKEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AFAG AUTOMATION AG,Switzerland,Huttwil,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NETHOOD,Switzerland,ZURICH,Other
SWITCH,Switzerland,BERN,Other
OROLIA SWITZERLAND SA,Switzerland,NEUCHATEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Schweizerisches Nationalmuseum,Switzerland,ZURICH,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
HAUTE ECOLE SPECIALISEE DE SUISSE OCCIDENTALE,Switzerland,DELEMONT,Higher or Secondary Education Establishments
EVOPLAN AG,Switzerland,ZUMIKON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ANDRITZ HYDRO AG,Switzerland,KRIENS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SPIROCHEM AG,Switzerland,BASEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ADECCO GROUP AG,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INNOEXC GMBH,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
IT4POWER GMBH,Switzerland,ZUG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GROUND UP ASSOCIATION,Switzerland,GENEVE,Other
WORLD BUSINESS COUNCIL FOR SUSTAINABLE DEVELOPMENT,Switzerland,GENEVE,Research Organisations
FLUXIM AG,Switzerland,FEUSISBERG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SENSIMA INSPECTION SARL,Switzerland,GLAND,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GE INSPECTION ROBOTICS AG,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MUHLE RYTZ AG,Switzerland,BIBEREN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BAERTSCHI AGRARTECNIC AG,Switzerland,HUSWIL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STIFTUNG BASE (BASEL AGENCY FOR SUSTAINABLE ENERGY),Switzerland,BASEL,Other
VEREIN SCHWEIZER LASER UND PHOTONIK NETZ,Switzerland,WOLLERAU,Other
EUROPEAN NEUTRON SCATTERING ASSOCIATION,Switzerland,NIEDERWENINGEN,Other
THE WALT DISNEY COMPANY (SWITZERLAND) GMBH,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CORTEXIA SA,Switzerland,CHATEL ST DENIS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TAKEDA PHARMACEUTICALS INTERNATIONAL AG,Switzerland,GLATTPARK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCHWEIZERISCHES FORSCHUNGSINSTITUT FUER HOCHGEBIRGSKLIMA UND MEDIZIN IN DAVOS,Switzerland,DAVOS PLATZ,Research Organisations
ELEOSS GMBH,Switzerland,THUN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MCM MCCOMBIE CHAPMAN MCKINLEY CONSULTING KOLLEKTIVGESELLSCHAFT,Switzerland,BADEN DATTWIL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIOFRUITS SA,Switzerland,VETROZ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JEAN-MICHEL BESSON,Switzerland,GRIMISUAT,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SWISS CLINICAL TRIAL ORGANISATION,Switzerland,BERN,Other
MIRALAB SARL,Switzerland,COLOGNY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OMNISENS SA,Switzerland,MORGES,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Brugg Kabel AG,Switzerland,Brugg,Other
SIXSQ SARL,Switzerland,GENEVE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FONDATION DE L'INSTITUT DE RECHERCHE IDIAP,Switzerland,MARTIGNY,Research Organisations
SOLARONIX SA,Switzerland,AUBONNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Vivent SARL,Switzerland,CRANS PRES CELIGNY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
UNION INTERNATIONALE POUR LA CONSERVATION DE LA NATURE ET DE SES RESSOURCES,Switzerland,GLAND,Research Organisations
FONDAZIONE PER L ISTITUTO DI RICERCA IN BIOMEDICINA,Switzerland,BELLINZONA,Research Organisations
INTERAX BIOTECH AG,Switzerland,VILLINGEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EXCELLGENE SA,Switzerland,MONTHEY,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DIRECTION DE L'ECONOMIE PUBLIQUE DU CANTON DE BERNE,Switzerland,BERNE,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
METEODAT GMBH,Switzerland,BIRMENSDORF,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GEO 7 AG,Switzerland,BERN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NOVARTIS PHARMA AG,Switzerland,BASEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GREEN TOX GMBH,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SYNTHENA AG,Switzerland,BERN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MAXWELL BIOSYSTEMS AG,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INTERNATIONAL FEDERATION OF PEDESTRIANS,Switzerland,ZURICH,Other
International Committee for the Indigenous Peoples of the Americas (INCOMINDIOS),Switzerland,ZURICH,Other
ARBEITSGEMEINSCHAFT ZUR FORDERUNG DES FUTTERBAUES,Switzerland,ZURICH,Other
BIOREBA AG,Switzerland,REINACH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZURCHER HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN,Switzerland,WINTERTHUR,Higher or Secondary Education Establishments
VEREIN EURESEARCH,Switzerland,BERN,Other
PIX4D SA,Switzerland,LAUSANNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DAETWYLER GRAPHICS AG,Switzerland,BLEIENBACH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
University of Zurich,Switzerland,Zürich,Other
EIDGENOSSISCHES INSTITUT FUR METROLOGIE METAS,Switzerland,WABERN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
RUAG SLIP RINGS SA,Switzerland,NYON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCHWEIZERISCHES TROPEN- UND PUBLIC HEALTH-INSTITUT,Switzerland,Basel,Research Organisations
NATIONALE GENOSSENSCHAFT FUER DIE LAGERUNG RADIOAKTIVER ABFAELLE,Switzerland,WETTINGEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN SOCIETY CLINICAL MICROBIOLOGY INFECTIOUS DISEASES (EUROPAISCHE GESELLSCHAFT FUR KLINISCHE MIKROBIOLOGIE INFEKTIONSKRANKHEITEN),Switzerland,BASEL,Other
FOUNDATION FOR INNOVATIVE NEW DIAGNOSTICS,Switzerland,GENEVE,Other
BD SWITZERLAND SARL,Switzerland,EYSINS,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROPEAN RESPIRATORY SOCIETY,Switzerland,LAUSANNE,Other
ATTOLIGHT SA,Switzerland,LAUSANNE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
CLIMEWORKS AG,Switzerland,ZURICH,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INTERNATIONAL ORGANIZATION FOR MIGRATION,Switzerland,GENEVE 19,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CRAY COMPUTER GMBH,Switzerland,BASEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SAPHYRION SAGL,Switzerland,BIOGGIO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SUNAMP SWITZERLAND GMBH,Switzerland,DUBENDORF,Private for-profit entities (excluding Higher or Secondary Education Establishments)
FACHHOCHSCHULE ZENTRALSCHWEIZ - HOCHSCHULE LUZERN,Switzerland,LUZERN,Higher or Secondary Education Establishments
MT PELERIN GROUP SA,Switzerland,GENEVE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SERVICES INDUSTRIELS DE GENEVE,Switzerland,LE LIGNON,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
FPT MOTORENFORSCHUNG AG,Switzerland,ARBON,Private for-profit entities (excluding Higher or Secondary Education Establishments)
OMYA INTERNATIONAL AG,Switzerland,Oftringen,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EQUA SOLUTIONS AG,Switzerland,ZUG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Phramintraco,Switzerland,Barbengo,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EUROVACC FOUNDATION,Switzerland,LAUSANNE,Other
SCHWEIZERISCHEN ARBEITSGEMEINSCHAFT FUER DIE BERGGEBIETE (SAB),Switzerland,BERN,Other
F. HOFFMANN-LA ROCHE AG,Switzerland,BASEL,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EARTHWORM FOUNDATION,Switzerland,NYON,Other
"EIDGENOSSISCHES DEPARTEMENT FUR VERTEIDIGUNG, BEVOLKERUNGSSCHUTZ UND SPORT",Switzerland,BERN,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
LS INSTRUMENTS AG,Switzerland,FREIBURG,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SCHWEIZERISCHER NATIONALFONDS ZUR FORDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG,Switzerland,Bern,Research Organisations
MULTIWAVE TECHNOLOGIES AG,Switzerland,GENEVA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VARIO-OPTICS AG,Switzerland,HEIDEN,Private for-profit entities (excluding Higher or Secondary Education Establishments)
