name,country,city,businessType
ACIES BIO BIOTEHNOLOSKE RAZISKAVE IN RAZVOJ DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MESTNA OBCINA NOVA GORICA,Slovenia,NOVA GORICA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"FAKULTETA ZA DIZAJN, SAMOSTOJNI VISOKOSOLSKI ZAVOD, PRIDRUZENA CLANICA UNIVERZE NA PRIMORSKEM",Slovenia,TRZIN,Other
MIROVNI INSTITUT,Slovenia,LJUBLJANA,Research Organisations
ZNANSTVENO-RAZISKOVALNO SREDISCE KOPER,Slovenia,KOPER,Research Organisations
"CVS MOBILE, INFORMACIJSKE RESITVE,DD",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"IOS, INSTITUT ZA OKOLJEVARSTVO IN SENZORJE, PROIZVODNJA, TRGOVINA IN STORITVE DOO",Slovenia,MARIBOR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR,Slovenia,MARIBOR,Research Organisations
"NACIONALNI LABORATORIJ ZA ZDRAVJE, OKOLJE IN HRANO",Slovenia,MARIBOR,Research Organisations
ZDRAVSTVENI DOM LJUBLJANA,Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ONKOLOSKI INSTITUT LJUBLJANA,Slovenia,LJUBLJANA,Research Organisations
GENIALIS D.O.O,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
XLAB RAZVOJ PROGRAMSKE OPREME IN SVETOVANJE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
NACIONALNI INSTITUT ZA JAVNO ZDRAVJE,Slovenia,LJUBLJANA,Research Organisations
INSTITUT ZA NUTRICIONISTIKO LJUBLJANA,Slovenia,LJUBLJANA,Research Organisations
ZAVOD ZA IDENTIFIKACIJO IN ELEKTRONSKO IZMENJAVO PODATKOV GS1 SLOVENIJA,Slovenia,LJUBLJANA,Other
MEDNARODNA PODIPLOMSKA SOLA JOZEFA STEFANA,Slovenia,Ljubljana,Higher or Secondary Education Establishments
URBANISTICNI INSTITUT REPUBLIKE SLOVENIJE,Slovenia,LJUBLJANA,Research Organisations
ZDRAVSTVENI DOM DR ADOLFA DROLCA MARIBOR,Slovenia,MARIBOR,Research Organisations
PIPISTREL DOO PODJETJE ZA PROIZVODNJO ZRACNIH PLOVIL,Slovenia,AJDOVSCINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PIPISTREL VERTICAL SOLUTIONS DOO PODJETJE ZA NAPREDNE LETALSKE RESITVE,Slovenia,AJDOVSCINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZAVOD-CENTER SLOVENSKEGA ORODJARSKEGA GROZDA CELJE,Slovenia,CELJE,Other
CPPE DOO,Slovenia,CELJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JAVNI ZAVOD REPUBLIKE SLOVENIJE ZA VARSTVO KULTURNE DEDISCINE,Slovenia,LJUBLJANA,Research Organisations
"JEMS, ENERGETSKA DRUZBA, D.O.O.",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"QLECTOR, RAZVOJ CELOVITIH RESITEV ZA PAMETNE TOVARNE DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KORONA INZENIRING DD,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRSTVO ZA JAVNO UPRAVO,Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SINERGISE LABORATORIJ ZA GEOGRAFSKEINFORMACIJSKE SISTEME DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EFOS INFORMACIJSKE RESITVE DOO,Slovenia,HRUSEVJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INEA INFORMATIZACIJA ENERGETIKA AVTOMATIZACIJA DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VALJI PROIZVODNJA VALJEV IN ULITKO DOO,Slovenia,STORE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BOSIO PROIZVODNO-TRGOVSKO PODJETJE DOO,Slovenia,CELJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LAJOVIC TUBA EMBALAZA DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"ILIRIJA, RAZVOJ, PROIZVODNJA IN TRZENJE KOZMETICNIH IZDELKOV DD",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SIBO G. d.o.o.,Slovenia,Škofja Loka,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TELEKOM SLOVENIJE DD,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AVTO MOTO ZVEZA SLOVENIJE,Slovenia,LJUBLJANA,Other
"PROSPEH, POSLOVNE STORITVE IN DIGITALNE RESITVE DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ITC - INOVACIJSKO TEHNOLOSKI GROZD MURSKA SOBOTA,Slovenia,MURSKA SOBOTA,Research Organisations
EMO-ORODJARNA DOO,Slovenia,CELJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MAGNETI LJUBLJANA PODJETJE ZA PROIZVODNJO MAGNETNIH MATERIALOV DD,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"SLOVENSKI GRADBENI GROZD, GOSPODARSKO INTERESNO ZDRUZENJE",Slovenia,LJUBLJANA,Other
NAVODNIK KEMIJSKI INZENIRING d.o.o.,Slovenia,CELJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JUB KEMICNA INDUSTRIJA DOO,Slovenia,DOL PRI LJUBLJANI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELAPHE POGONSKE TEHNOLOGIJE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"COMSENSUS, KOMUNIKACIJE IN SENZORIKA, DOO",Slovenia,DOB,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RAZVOJNI CENTER ORODJARSTVA SLOVENIJE,Slovenia,CELJE,Research Organisations
SMART COM DOO INFORMACIJSKI IN KOMUNIKACIJSKI SISTEMI,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELEKTRO CELJE D.D.,Slovenia,CELJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"Bisol Proizvodnja, d.o.o.",Slovenia,Prebold,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT ZA CELULOZO IN PAPIR,Slovenia,LJUBLJANA,Other
ZAVOD E-OBLAK POSLOVNE IN RAZISKOVALNE DEJAVNOSTI,Slovenia,LJUBLJANA,Research Organisations
INNORENEW COE CENTER ODLICNOSTI ZA RAZISKAVE IN INOVACIJE NA PODROCJU OBNOVLJIVIH MATERIALOV IN ZDRAVEGA BIVANJSKEGA OKOLJA,Slovenia,IZOLA - ISOLA,Research Organisations
REGIONALNA RAZVOJNA AGENCIJA - LJUBLJANSKE URBANE REGIJE ZAVOD,Slovenia,LJUBLJANA,Research Organisations
JAVNO PODJETJE LJUBLJANSKA PARKIRISCA IN TRZNICE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"ISKRA, ELEKTRO IN SISTEMSKE RESITVE, DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GRADBENI INSTITUT ZRMK DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
LOKALNA ENERGETSKA AGENCIJA GORENJSKE JAVNI ZAVOD,Slovenia,KRANJ,Research Organisations
GOSPODARSKO INTERESNO ZDRUZENJE GROZD PLASTTEHNIKA - GIZ GROZD PLASTTEHNIKA,Slovenia,CELJE,Research Organisations
"KOPLAST EKSTRUZIJA IN KONFEKCIJA, DOO, SLOVENSKE KONJICE",Slovenia,SLOVENSKE KONJICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TISKANA VEZJA LUZNAR DOO,Slovenia,KRANJ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"GEM MOTORS, RAZVOJ IN IZDELAVA INOVATIVNIH ELEKTROMOTORJEV DOO",Slovenia,KAMNIK,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DOMEL ELEKTROMOTORJI IN GOSPODINJSKI APARATI D.O.O.,Slovenia,ZELEZNIKI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELEKTRO LJUBLJANA PODJETJE ZADISTRIBUCIJO ELEKTRICNE ENERGIJE D.D.,Slovenia,Ljubljana,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"STANOVANJSKI SKLAD REPUBLIKE SLOVENIJE, JAVNI SKLAD",Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
NARODNI MUZEJ SLOVENIJE,Slovenia,LJUBLJANA,Research Organisations
ELEKTRO GORENJSKA PODJETJE ZA DISTRIBUCIJO ELEKTRICNE ENERGIJE DD,Slovenia,KRANJ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INVIDA INTERNET VIDEO AGENCIJA DOO,Slovenia,SKOFJA LOKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
AGENCIJA ZA ENERGIJO,Slovenia,MARIBOR,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"C & G ZASTOPANJE, SVETOVANJE IN INZENIRING DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TRZNI INSPEKTORAT RS,Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
SENLAB DRUZBA ZA INFORMACIJSKO TEHNOLOGIJO DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MOBILI INFORMACIJSKE TEHNOLOGIJE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
Inovacijsko-razvojni institut Univerze v Ljubljani,Slovenia,LJUBLJANA,Research Organisations
ETREL SVETOVANJE IN DRUGE STORITVE DOO,Slovenia,GROSUPLJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TOSLA PROIZVODNJA DRUGIH PREHRAMBENIH IZDELKOV DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MEDNARODNI INSTITUT ZA POTROSNISKE RAZISKAVE,Slovenia,LJUBLJANA,Research Organisations
IDL LOGISTIKA D.O.O.,Slovenia,KRANJ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PETROL SLOVENSKA ENERGETSKA DRUZBA DD LJUBLJANA,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT ZA KORPORATIVNE VARNOSTNE STUDIJE LJUBLJANA,Slovenia,LJUBLJANA,Research Organisations
"LUKA KOPER, PORT AND LOGISTIC SYSTEM, D.D.",Slovenia,KOPER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SIJ METAL RAVNE DOO,Slovenia,RAVNE NA KOROSKEM,Private for-profit entities (excluding Higher or Secondary Education Establishments)
KOVIS PROIZVODNA DRUZBA DOO,Slovenia,BREZICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MINISTRSTVO ZA INFRASTRUKTURO,Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
TEKSTINA TEKSTILNA INDUSTRIJA DOO,Slovenia,AJDOVSCINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"DOCTRINA, IZOBRAZEVANJE, DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"GS RAZVOJ, PROIZVODNJA IN SVETOVANJE DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BIA PODJETJE ZA LABORATORIJSKO IN P,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INSTITUT ZA RAZISKOVANJE PODJETNISTVA TOVARNA PODJEMOV MARIBOR,Slovenia,MARIBOR,Other
TEHNOLOSKI PARK LJUBLJANA DOO,Slovenia,LJUBLJANA,Other
"GEN-I, TRGOVANJE IN PRODAJA ELEKTRICNE ENERGIJE, D.O.O.",Slovenia,KRSKO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"CONSENSUS, KOMUNIKACIJE ZAODGOVORNO DRUZBO, D.O.O.",Slovenia,"LJUBLJANA ,",Private for-profit entities (excluding Higher or Secondary Education Establishments)
GEODETSKI ZAVOD CELJE IZVAJANJE STROKOVNO-OPERATIVNIH DEL STORITEV V ZADEVAH GEODETSKE SLUZBE TER DRUGIHSTROKOVNO TEHNICNIH DEL DOO,Slovenia,CELJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"D.LABS, RAZVOJ SPLETNIH APLIKACIJ DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
POLYCOM PREDELAVA PLASTICNIH MAS INORODJARSTVO SKOFJA LOKA DOO,Slovenia,POLJANE NAD SKOFJO LOKO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"FERROCRTALTC UVOZ-IZVOZ, DOO",Slovenia,DOLENJSKE TOPLICE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GORENJE GOSPODINJSKI APARATI DOO,Slovenia,VELENJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
RRA ZELENI KRAS DOO,Slovenia,PIVKA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
PRIMUM POSLOVNO SVETOVANJE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VEPLAS VELENJSKA PLASTIKA DD,Slovenia,VELENJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ANIGMOTEH PODJETJE ZA RAZISKAVE IN RAZVOJ DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZVEZA POTROSNIKOV SLOVENIJE DRUSTVO,Slovenia,LJUBLJANA,Other
"STRIP'S, ELEKTROTEHNIKA - ELEKTRONIKA DOO",Slovenia,VACE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"ROBOTINA D.O.O., PODJETJE ZA INZ ENIRING, MARKETING, TRGOVINO IN PROIZVODNJO",Slovenia,KOZINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE, KMETIJSKO GOZDARSKI ZAVOD NOVO MESTO",Slovenia,NOVO MESTO,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
"SMARTMELAMINE, PODJETJE ZA PROIZVODNJO MELAMINSKIH FLISOV DOO",Slovenia,KOCEVJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MELAMIN KEMICNA TOVARNA D.D. KOCEVJE,Slovenia,KOCEVJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
JUNIBA RAZISKAVE STORITVE IN SVELOVANJE D.O.O.,Slovenia,MARIBOR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
COMCOM RACUNALNISTVO KOMUNIKACIJE DOO IDRIJA,Slovenia,IDRIJA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"DUKIN, RAZVOJ EKOLOSKE OPREME DOO",Slovenia,LJUTOMER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
C-ASTRAL PROIZVODNJA ZRACNIH IN VESOLJSKIH PLOVIL DOO,Slovenia,AJDOVSCINA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ELGOLINE DOO,Slovenia,Cerknica,Private for-profit entities (excluding Higher or Secondary Education Establishments)
DOM DANICE VOGRINEC MARIBOR,Slovenia,Maribor,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
ATech elektronika d.o.o.,Slovenia,Materija,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"MINISTRSTVO ZA OKOLJE IN PROSTOR, GEODETSKA UPRAVA REPUBLIKE SLOVENIJE",Slovenia,LJUBLJANA,Public bodies (excluding Research Organisations and Secondary or Higher Education Establishments)
CENEJE DRUZBA ZA TRGOVINO IN POSLOVNO SVETOVANJE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"BIG BANG, TRGOVINA IN STORITVE, DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ARGAS AVTOMATSKO ROCNI GASILNI SISTEMI D.O.O,Slovenia,SENOVO,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"C.N.G.V., INZENIRING, RAZISKAVE IN TRZENJE REZERVOARJEV ZA STISNJEN PLIN DOO",Slovenia,IZOLA ISOLA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"VANEMA, STORITVE DOO",Slovenia,ZAGORJE OB SAVI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"IDCONFERENCE, UPRAVLJANJE DOGODKOV,DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"GONZAGA-PRO PROIZVODNJA, TRGOVINA, INZENIRING  D.O.O",Slovenia,NOVA GORICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
ZAVOD LESARSKI GROZD,Slovenia,Ljubljana,Research Organisations
JENKOLE SIMON,Slovenia,KRANJ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"BSC, POSLOVNO PODPORNI CENTER, DOO",Slovenia,KRANJ,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"ZNS, RAZISKOVANJE, RAZVOJ IN SVETOVANJE, d.o.o.",Slovenia,Škofja Loka,Private for-profit entities (excluding Higher or Secondary Education Establishments)
STAJERSKA GOSPODARSKA ZBORNICA FIRM,Slovenia,MARIBOR,Other
"LA&HA, AKADEMIJA ZA LASERJE IN ZDRAVJE",Slovenia,LJUBLJANA,Research Organisations
"TITERA, TEHNICNO INOVATIVNE TEHNOLOGIJE, DOO",Slovenia,MURSKA SOBOTA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MOVALYSE TRGOVINA STORITVE IN PROIZVODNJA DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
XENYA INZENIRING PROIZVODNJA IN TRGOVINA DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
BORZA TERJATEV DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"PODKRIZNIK, SPECIALNA STROJNA INDUSTRIJA DOO",Slovenia,LJUBNO OB SAVINJI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
EMA DOO - OZNACEVANJE IN SLEDLJIVOST V INDUSTRIJI IN LOGISTIKI,Slovenia,CELJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
MARAND INZENIRING DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
GOOPTI INTELIGENTNE TRANSPORTNE RESITVE DOO,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"EXOR EVS, STORITVE IN OPREMA, DOO",Slovenia,PESNICA PRI MARIBORU,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SLOVENSKO ZDRUZENJE ZA TRAJNOSTNO GRANDJO,Slovenia,LJUBLJANA,Other
"FARMTECH, PROIZVODNJA KMETIJSKIH STROJEV, OKOLJSKE TEHNIKE IN OPREME TER TRGOVINA DOO",Slovenia,LJUTOMER,Private for-profit entities (excluding Higher or Secondary Education Establishments)
SILVAPRODUKT PODJETJE ZA PROIZVODNJO IN PRODAJO SREDSTEV ZA ZASCITO MATERIALOV,Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
M SORA TRGOVINA IN PROIZVODNJA DD,Slovenia,ZIRI,Private for-profit entities (excluding Higher or Secondary Education Establishments)
VB CENTER D.O.O.,Slovenia,GORISNICA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"MYSTERIA COLORUM-MYCOL, PROIZVODNJA, TRGOVINA IN STORITVE, DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
INOVINE RAZVOJ IN TRZENJE DOO,Slovenia,LJUBLIJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"KODA PROM, PODEJETJE ZA MARKETING,TRGOVINO IN OGLASEVANJE, DOO",Slovenia,LJUBLJANA,Private for-profit entities (excluding Higher or Secondary Education Establishments)
"ETRA PROIZVODNJA, TRGOVINA STORITVE DOO",Slovenia,DRAMLJE,Private for-profit entities (excluding Higher or Secondary Education Establishments)
TOM PIT RAZVOJ PROGRAMSKE OPREME DOO,Slovenia,SENTJUR,Private for-profit entities (excluding Higher or Secondary Education Establishments)
